"COURSE"	"FACULTY"	"SCHOOL"	"CLOS"
"167"	"ANTH315"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Identify the history and central tenets of a decolonising approach to anthropology., 2-Apply core theoretical concepts in an anthropology for liberation to a range of ethnographic examples and contemporary social justice debates., 3-Create and carry out a piece of anthropological research that reflects critically on one or more course themes, drawing on ethnographic examples from Asia, Oceania, or Latin America., 4-Construct convincing arguments that demonstrate skills in critical reading, critical and creative thinking, and the ability to synthesise key course concepts in your own words."
"168"	"ANTH316"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Examine and develop an understanding of the history of the &lsquo;ethnographic gaze&rsquo; as well as present frameworks of analysing visual sources of research material., 2-Develop a critical understanding of contemporary forms of cultural communication and reception., 3-Develop a critical understanding of different theoretical traditions and practical applications within visual anthropology."
"169"	"ANTH317"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-discuss the diversity of forms, causes, and consequences of migration;, 2-present a critical understanding of how anthropologists study and explain migration, including concepts such as &lsquo;governmentality&rsquo;, &lsquo;transnationalism&rsquo; and &lsquo;diaspora&rsquo;;, 3-critically examine contemporary trends in migration and the impacts these changes in migration patterns have had on culture itself and the anthropological development of the culture concept;, 4-apply the models and concepts discussed above to contemporary migration issues;, 5-demonstrate skills in critical reading, clear oral and written presentation of ideas, and formulate and support arguments about migration."
"170"	"ANTH401"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	""
"171"	"ANTH406"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Identify and critically analyse key anthropological approaches to ethnographic research and writing, 2-Critically compare different anthropological approaches to ethnographic research and writing, 3-Develop core ethnographic writing skills"
"172"	"ANTH407"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Analyse popular debates and anthropological arguments about climate change, 2-Recall and analyse anthropological theories of cultural and environmental change, 3-Write a piece of sustained analytical research related to a contemporary environmental issue, 4-Draw from anthropological knowledge to think speculatively about potential human futures"
"173"	"ANTH408"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Demonstrate knowledge of the philosophical, ethical and epistemological underpinnings of anthropological research;, 2-Design an independent ethnographic fieldwork project;, 3-Practice some of the approaches, skills and techniques used by contemporary ethnographic researchers in their own fieldwork projects, with supervision., 4-Give seminar presentations and lead workshops in a safe environment of the class room"
"174"	"ANTH410"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Critique major contemporary approaches in anthropological theory, 2-Relate the concepts of contemporary anthropological thought to broader concerns within anthropology, 3-Develop their own theoretical position in relation to contemporary anthropological thought"
"175"	"ANTH489"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-demonstrate conceptual ability &ndash; conceptualise a project and relate it to the existing body of knowledge and research on the subject chosen, 2-demonstrate analytical and writing skills &ndash; integrate ethnographic information and conceptual/theoretical issues into a final report, 3-demonstrate engagement with the research process &ndash;share ideas with your supervisor at different stages of the research process, 4-demonstrate management of research &ndash; develop a personal schedule to conduct and complete research within the constraints of time and resources._x000D_
&nbsp;"
"176"	"ANTH489"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-demonstrate conceptual ability &ndash; conceptualise a project and relate it to the existing body of knowledge and research on the subject chosen, 2-demonstrate analytical and writing skills &ndash; integrate ethnographic information and conceptual/theoretical issues into a final report, 3-demonstrate engagement with the research process &ndash;share ideas with your supervisor at different stages of the research process, 4-demonstrate management of research &ndash; develop a personal schedule to conduct and complete research within the constraints of time and resources._x000D_
&nbsp;"
"177"	"ANTH591"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	""
"178"	"ANTH690"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	""
"194"	"ARTH100"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"195"	"ARTH101"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-explain notions of creativity and identity in art history, 2-explain artworks within the relevant social, political and theoretical contexts, 3-describe artworks using appropriate vocabulary, 4-apply appropriate vocabulary to analyse artworks, 5-summarise relevant information and evidence from artworks and published material to construct an argument"
"196"	"ARTH102"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-explain notions of revolution and crisis in art history, 2-analyse artworks within the relevant social, political and theoretical contexts, 3-evaluate the role of art in revolution, activism, social movements and political transformation, 4-summarise relevant information and evidence from artworks and published material to construct an argument"
"197"	"ARTH103"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-explain notions of creativity and identity in art history, 2-explain artworks within the relevant social, political and theoretical contexts, 3-describe artworks using appropriate vocabulary, 4-apply appropriate vocabulary to analyse artworks, 5-summarise relevant information and evidence from artworks and published material to construct an argument"
"198"	"ARTH113"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-identify central debates in the history of art, 2-explain artworks within the relevant social, political and theoretical contexts, 3-describe artworks using appropriate vocabulary and style, 4-summarise relevant information and evidence from artworks and published material to construct an argument"
"199"	"ARTH114"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-recognise key episodes of cross-cultural encounter and artistic exchange within the chronology of a global art history, 2-analyse and interpret the dynamics of artistic influence and change within contexts of cross-cultural encounter, 3-describe artworks using appropriate vocabulary and style, 4-summarise relevant information and evidence from artworks and published material to construct an argument"
"200"	"ARTH200"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"201"	"ARTH212"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Analyse and interpret the history of photography as it develops within a number of specific thematics, from the advent of the medium in the late eighteenth century through to the present, 2-Refine your skills of analysis and interpretation within the specific context of the course, 3-Gather and organise relevant information and evidence from published material (i.e. primary and secondary sources) and to further your ability to construct an argument using this material_x000D_
&nbsp;, 4-Present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)"
"202"	"ARTH213"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-understand the chronology of the history of art in Aotearoa New Zealand;, 2-analyse and interpret the art of this region within relevant social, political and theoretical contexts;, 3-gather and organise relevant information and evidence from published materials (i.e. primary and secondary sources) and construct an argument using this material;, 4-present material which is coherent and well-written and which demonstrates an understanding of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"203"	"ARTH214"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-understand, analyse and interpret the art of this region within relevant historical, social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published materials (i.e. secondary sources) and construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding of the conventions of academic writing (including appropriate citation, referencing and documentation)"
"204"	"ARTH216"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published material (i.e. secondary sources) and to further your ability to construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"205"	"ARTH217"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-Gather and organise relevant information and evidence from published material (i.e. primary and secondary sources) and to further your ability to construct an argument using this material;, 3-Present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"206"	"ARTH218"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret Baroque art within the relevant social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published material (i.e. secondary sources) and to construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation);"
"207"	"ARTH219"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret modern art within the relevant social, political and theoretical contexts, 2-explain changes in the relation between artistic practice and historical context during the period covered by the course, 3-gather and organise relevant information and evidence from artworks and published material and to construct an argument using this material"
"208"	"ARTH222"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published material (i.e. secondary sources) and to further your ability to construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"209"	"ARTH225"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"210"	"ARTH226"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Analyse the relationship between art and the environment within relevant social, political, and historical contexts, 2-Describe a range of contemporary artistic approaches to the environment via case studies and field work, 3-Interpret relevant information and evidence from published material (i.e. secondary sources) within critical art historical contexts, 4-Explain the relationship between artistic practice and the interdisciplinary contexts of the environmental humanities"
"211"	"ARTH300"	"Faculty of Humanities & Soc Sc"	"Faculty of Humanities & Soc Sc"	""
"212"	"ARTH310"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published material (utilising both primary and secondary sources) and to construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)., 4-Demonstrate skills in the oral presentation, analysis and discussion of visual material in tutorials."
"213"	"ARTH311"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published material (i.e. secondary sources) and to further your ability to construct an argument using this material;_x000D_
_x000D_
&nbsp;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"214"	"ARTH313"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published material (utilising both primary and secondary sources) and to construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)., 4-Demonstrate skills in the oral presentation, analysis and discussion of visual material in tutorials."
"215"	"ARTH315"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-gather and organise relevant information and evidence from published material (i.e. secondary sources) and to further your ability to construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"216"	"ARTH316"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Critically view, analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-Gather, organise and analyse relevant information and evidence from published material (i.e. utilising primary and secondary sources) and further their ability to construct an argument using this material;, 3-Present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation."
"217"	"ARTH317"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-Gather and organize relevant information and evidence from published material (i.e., secondary sources) and to further your ability to construct an argument using this material;, 3-Present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"218"	"ARTH319"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and interpret the art of this period within the relevant social, political and theoretical contexts;, 2-gather and organize relevant information and evidence from published material (i.e., secondary sources) and to further your ability to construct an argument using this material;, 3-present material which is coherent and well-written and which demonstrates an understanding and application of the conventions of academic writing (including appropriate citation, referencing and documentation)."
"219"	"ARTH334"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Explain the key ideas associated with surrealism within their relevant social, political and theoretical contexts, 2-Compare the practice of artists and/or writers to differentiate currents within the culture of surrealism, 3-Evaluate the historical legacy of surrealism on different aspects of contemporary culture, 4-Integrate relevant visual and written material into exhibition design"
"220"	"ARTH335"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-Describe key themes and concepts in contemporary art, 2-Employ formal skills in visual analysis, theory and criticism, 3-Critically analyse and evaluate contemporary exhibitions and related materials, 4-Clearly communicate and present understandings of the role of contemporary art"
"221"	"ARTH336"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-critically analyse examples of Pacific art within relevant social, historical, political and theoretical contexts, 2-explain the relationship between artistic change and historical context using examples of Pacific art from the mid-twentieth century to the present, 3-theorise the relationship between the use of historical sources, references and precedents in Pacific art since the mid-twentieth century and its purposes in the present"
"222"	"ARTH401"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-apply their skills of analysis to critically examine visual and textual material, 2-work independently - formulate, analyse and refine topics, 3-consistently apply the conventions of academic writing and art historical research"
"223"	"ARTH402"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-apply their skills of analysis to critically examine relevant visual and textual material., 2-work independently in formulating, analysing and refining topics for seminar presentation, class discussion and essays., 3-gather and organise relevant information and evidence from published and unpublished sources., 4-consistently apply the conventions of academic writing and art historical research, 5-participate effectively in seminar presentation and oral debate."
"224"	"ARTH403"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-analyse and critically examine visual and textual material, 2-engage in independent work, including the formulation, analysis and refinement of topics, 3-demonstrate the consistent application of the conventions of academic writing and art historical research, 4-make full use of library resources, 5-demonstrate skills in seminar presentation and oral debate"
"225"	"ARTH405"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-critically examine visual and textual material, 2-formulate and refine topics relevant to the field of Art History, 3-describe debates on primitivism and critique their relative strengths and weaknesses, 4-apply knowledge of curatorial practice to exhibition research and design"
"226"	"ARTH406"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-bring a range of critical perspectives to the analysis of key texts, 2-be familiar with the key works of leading theorists and historians of the field and be able to evaluate their work, 3-produce a sustained piece of written work that demonstrates familiarity with and consistent application of the conventions of academic writing including scholarly reviews and journal articles, 4-present informed views both orally in seminars and in written form in the format of a reading journal"
"227"	"ARTH407"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-think critically about the nature of artistic endeavour and its relation to art historical scholarship, 2-apply their skills of analysis to critically examine visual and textual material, 3-work independently &ndash; formulate, analyse and refine topics, 4-gather and organise relevant information and evidence from published and unpublished sources, 5-consistently apply the conventions of academic writing and art historical research"
"228"	"ARTH408"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-bring a range of critical perspectives to the analysis of key texts, 2-be familiar with the key works of major artists and be able to evaluate the range of interpretations of their work, 3-produce a sustained piece of written work that demonstrates familiarity with and consistent application of the conventions of academic writing including scholarly reviews and journal articles, 4-present informed views both orally in seminars and in written form in format of a reading journal"
"229"	"ARTH411"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"230"	"ARTH489"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-apply their skills of analysis to critically examine visual and textual material, 2-work independently - formulate, analyse and refine topics, 3-consistently apply the conventions of academic writing and art historical research"
"231"	"ARTH489"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-apply their skills of analysis to critically examine visual and textual material, 2-work independently - formulate, analyse and refine topics, 3-consistently apply the conventions of academic writing and art historical research"
"232"	"ARTH591"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"233"	"ARTH690"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	""
"234"	"ARTS401"	"Faculty of Humanities & Soc Sc"	"New Zealand School of Music"	"1-describe and apply fundamental principles of creativity, 2-demonstrate strategies for generating ideas and innovative ways of approaching and reframing problems, 3-manage and reflect upon their own creative artistic process, 4-enhance their ability to communicate ideas clearly, imaginatively, and effectively, 5-work with collaborators in the creative process."
"235"	"ARTS402"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-plan for and manage a creative project., 2-create a business plan for a career as a self-employed artist, 3-use strategic marketing techniques to promote a creative project and/or your practise as a self-employed artist, 4-develop a project plan incorporating best practise in arts management and marketing., 5-clearly communicate how to market and manage a creative project in New Zealand and/or internationally."
"236"	"ARTS490"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-transfer their programme specific skills to the workplace/community., 2-plan, complete and evaluate a workplace project., 3-analyse, summarise and reflect on their internship experience."
"237"	"ARTS490"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-transfer their programme specific skills to the workplace/community., 2-plan, complete and evaluate a workplace project., 3-analyse, summarise and reflect on their internship experience."
"238"	"ARTS490"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-transfer their programme specific skills to the workplace/community., 2-plan, complete and evaluate a workplace project., 3-analyse, summarise and reflect on their internship experience."
"239"	"ARTS490"	"Faculty of Humanities & Soc Sc"	"English, Film, Theatre, Media"	"1-transfer their programme specific skills to the workplace/community., 2-plan, complete and evaluate a workplace project., 3-analyse, summarise and reflect on their internship experience."
"240"	"ASIA101"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-analyse critically different representations of Asia;, 2-discuss with knowledge a variety of topics related to Asia and its place in New Zealand;, 3-extend their study of Asia in upper-level university courses;, 4-approach life as more informed citizens of the greater Asia-Pacific region."
"241"	"ASIA101"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-analyse critically different representations of Asia;, 2-discuss with knowledge a variety of topics related to Asia and its place in New Zealand;, 3-extend their study of Asia in upper-level university courses;, 4-approach life as more informed citizens of the greater Asia-Pacific region."
"242"	"ASIA111"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Articulate a general understanding of selected Asian societies;, 2-Analyse historical, religious, social and cultural issues in selected Asian regions in a variety of contexts and in comparative perspective;, 3-Present and argue for ideas in written form."
"243"	"ASIA201"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-analyse critically the nature of social, economic, political and cultural change in Asia a variety of contexts;, 2-express a deepened understanding of how social issues are reflected in literary and artistic media;, 3-consider issues in Asian Studies from a variety of disciplinary perspectives in the humanities and social sciences (e.g. History, Politics, Economics, Film, Media Studies, Development Studies, Music)."
"244"	"ASIA203"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-show broad familiarity with, and understanding of, (South) Korean society, culture, and history, and the contemporary economic and political situation;, 2-analyse critically the nature of social, economic, political and cultural change in Korea in a variety of contexts;, 3-display a deepened understanding of how social issues are reflected in Korean literature, film and music;, 4-show development in their skills in written and/or oral communication."
"245"	"ASIA204"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-outline the major historical developments of traditional Southeast Asian cultures and societies., 2-analyse critically in writing the nature of social, economic and cultural change in premodern Southeast Asia in a variety of contexts, 3-apply knowledge of Southeast Asian cultures in the analysis of traditional Southeast Asian literary works and artworks, 4-use a variety of concepts and tools from disciplines in humanities and social sciences (e.g. History, Anthropology, History, Religious Studies, Art History) in the analysis of traditional Southeast Asian cultures and societies"
"246"	"ASIA208"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-Demonstrate knowledge of  China’s social, political and historical change through depictions in Chinese films;  , 2-Demonstrate knowledge of the major landmarks in Chinese film production and reception;  , 3-Understand and critique Chinese films in connection with their social, cultural and historical context; , 4-Critically assess Chinese films using basic critical theory with sensitivity  to Chinese cinematic tradition. "
"247"	"ASIA301"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-analyse critically the nature of the nation-state and nationalism in a variety of contexts;, 2-show deepened understanding of how nationalism has functioned within Asia itself;, 3-demonstrate greater awareness of the dramatic impacts the forces of nationalism have in the contemporary world, not only internationally, but within New Zealand itself; and, 4-consider issues in Asian Studies from a variety of disciplinary perspectives (e.g. History, Political Science and International Relations, Religious Studies, Literature, Media Studies)."
"248"	"ASIA302"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-display increased research skills generally, and more specifically within the context of Asian Studies;_x000D_
&nbsp;, 2-demonstrate a deepened critical understanding of a particular area of research within Asian Studies;_x000D_
&nbsp;, 3-show development in their oral and written communication skills, particularly in relation to Asian Studies;_x000D_
&nbsp;, 4-consider issues in Asian Studies from at least one or more disciplinary perspectives at an advanced level._x000D_
&nbsp;"
"249"	"ASIA302"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-display increased research skills generally, and more specifically within the context of Asian Studies;_x000D_
&nbsp;, 2-demonstrate a deepened critical understanding of a particular area of research within Asian Studies;_x000D_
&nbsp;, 3-show development in their oral and written communication skills, particularly in relation to Asian Studies;_x000D_
&nbsp;, 4-consider issues in Asian Studies from at least one or more disciplinary perspectives at an advanced level._x000D_
&nbsp;"
"250"	"ASIA302"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-display increased research skills generally, and more specifically within the context of Asian Studies;_x000D_
&nbsp;, 2-demonstrate a deepened critical understanding of a particular area of research within Asian Studies;_x000D_
&nbsp;, 3-show development in their oral and written communication skills, particularly in relation to Asian Studies;_x000D_
&nbsp;, 4-consider issues in Asian Studies from at least one or more disciplinary perspectives at an advanced level._x000D_
&nbsp;"
"251"	"ASIA304"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	"1-show broad familiarity with, and understanding of, Korean society, culture, and history, and the contemporary economic and political situation;, 2-analyse critically the nature of social, economic, political and cultural change in Korea in a variety of contexts;, 3-display a deepen understanding of how social issues are reflected in Korean literature, film and music;, 4-show development in their skills in written and/or oral communication."
"252"	"ASIA401"	"Faculty of Humanities & Soc Sc"	"Languages and Cultures"	""
